,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
0,Metropolitan area,Median age at first sexual intercourse [Women]: 20-24,18.7,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
1,Rest of West,Median age at first sexual intercourse [Women]: 20-24,18.2,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
2,South-East,Median age at first sexual intercourse [Women]: 20-24,17.3,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
3,North,Median age at first sexual intercourse [Women]: 20-24,17.9,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
4,North-East,Median age at first sexual intercourse [Women]: 20-24,19.3,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
5,Artibonite,Median age at first sexual intercourse [Women]: 20-24,17.9,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
6,Centre,Median age at first sexual intercourse [Women]: 20-24,16.8,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
7,South,Median age at first sexual intercourse [Women]: 20-24,17.6,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
8,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 20-24,17.7,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
9,North-West,Median age at first sexual intercourse [Women]: 20-24,18.1,2000,Median age at first sexual intercourse [Women], 20-24,Women,2000,Median age at first sexual intercourse 
10,Metropolitan area,Median age at first sexual intercourse [Women]: 25-29,18.7,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
11,Rest of West,Median age at first sexual intercourse [Women]: 25-29,17.5,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
12,South-East,Median age at first sexual intercourse [Women]: 25-29,17.5,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
13,North,Median age at first sexual intercourse [Women]: 25-29,18.1,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
14,North-East,Median age at first sexual intercourse [Women]: 25-29,18.6,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
15,Artibonite,Median age at first sexual intercourse [Women]: 25-29,17.5,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
16,Centre,Median age at first sexual intercourse [Women]: 25-29,16.5,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
17,South,Median age at first sexual intercourse [Women]: 25-29,18.1,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
18,Grande-Anse/Nippes,Median age at first sexual intercourse [Women]: 25-29,17.8,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
19,North-West,Median age at first sexual intercourse [Women]: 25-29,18.1,2000,Median age at first sexual intercourse [Women], 25-29,Women,2000,Median age at first sexual intercourse 
20,Metropolitan area,Median age at first sexual intercourse [Women]: 30-34,18.8,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
21,Rest of West,Median age at first sexual intercourse [Women]: 30-34,18.0,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
22,South-East,Median age at first sexual intercourse [Women]: 30-34,18.5,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
23,North,Median age at first sexual intercourse [Women]: 30-34,17.4,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
24,North-East,Median age at first sexual intercourse [Women]: 30-34,18.8,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
25,Artibonite,Median age at first sexual intercourse [Women]: 30-34,18.2,2000,Median age at first sexual intercourse [Women], 30-34,Women,2000,Median age at first sexual intercourse 
