ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
HTI,Metropolitan area,1078255,Median age at first sexual intercourse [Women]: 20-24,18.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSWM20,HTDHS2000412001,2000,DHS,,,,,1
HTI,Rest of West,1086241,Median age at first sexual intercourse [Women]: 20-24,18.2,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412002,1412002,Region,Rest of West,0,,0,1,SXAAFSWM20,HTDHS2000412002,2000,DHS,,,,,1
HTI,South-East,1078282,Median age at first sexual intercourse [Women]: 20-24,17.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412003,1412003,Region,South-East,0,,0,1,SXAAFSWM20,HTDHS2000412003,2000,DHS,,,,,1
HTI,North,1069870,Median age at first sexual intercourse [Women]: 20-24,17.9,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412004,1412004,Region,North,0,,0,1,SXAAFSWM20,HTDHS2000412004,2000,DHS,,,,,1
HTI,North-East,1086187,Median age at first sexual intercourse [Women]: 20-24,19.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412005,1412005,Region,North-East,0,,0,1,SXAAFSWM20,HTDHS2000412005,2000,DHS,,,,,1
HTI,Artibonite,7140131,Median age at first sexual intercourse [Women]: 20-24,17.9,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412006,1412006,Region,Artibonite,0,,0,1,SXAAFSWM20,HTDHS2000412006,2000,DHS,,,,,1
HTI,Centre,1086226,Median age at first sexual intercourse [Women]: 20-24,16.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412007,1412007,Region,Centre,0,,0,1,SXAAFSWM20,HTDHS2000412007,2000,DHS,,,,,1
HTI,South,1086236,Median age at first sexual intercourse [Women]: 20-24,17.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412008,1412008,Region,South,0,,0,1,SXAAFSWM20,HTDHS2000412008,2000,DHS,,,,,1
HTI,Grande-Anse/Nippes,1069879,Median age at first sexual intercourse [Women]: 20-24,17.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412009,1412009,Region,Grande-Anse/Nippes,0,,0,1,SXAAFSWM20,HTDHS2000412009,2000,DHS,,,,,1
HTI,North-West,1078304,Median age at first sexual intercourse [Women]: 20-24,18.1,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M20,51703020,I,412012,1412012,Region,North-West,0,,0,1,SXAAFSWM20,HTDHS2000412012,2000,DHS,,,,,1
HTI,Metropolitan area,1078256,Median age at first sexual intercourse [Women]: 25-29,18.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M25,51703030,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSWM25,HTDHS2000412001,2000,DHS,,,,,1
